Wall time,Step,Value,,,,
1590868045,0,0.524686337,,1590868045,,5/30/2020 19:47
1590868680,1,0.517618656,,1590868680,,5/30/2020 19:58
1590869470,2,0.50265944,,1590869470,,5/30/2020 20:11
1590870247,3,0.499725372,,1590870247,,5/30/2020 20:24
1590871043,4,0.500766039,,1590871043,,5/30/2020 20:37
1590871885,5,0.498178869,,1590871885,,5/30/2020 20:51
1590872749,6,0.501459777,,1590872749,,5/30/2020 21:05
1590873608,7,0.502153575,,1590873608,,5/30/2020 21:20
1590874479,8,0.501835585,,1590874479,,5/30/2020 21:34
1590875357,9,0.498843729,,1590875357,,5/30/2020 21:49
