Wall time,Step,Value,,,,
1590868043,0,0.714341879,,1590868043,,5/30/20 19:47
1590868678,1,0.692989826,,1590868678,,5/30/20 19:57
1590869469,2,0.694380462,,1590869469,,5/30/20 20:11
1590870246,3,0.693312943,,1590870246,,5/30/20 20:24
1590871042,4,0.693391621,,1590871042,,5/30/20 20:37
1590871883,5,0.693608165,,1590871883,,5/30/20 20:51
1590872747,6,0.693216026,,1590872747,,5/30/20 21:05
1590873606,7,0.693286359,,1590873606,,5/30/20 21:20
1590874477,8,0.693226814,,1590874477,,5/30/20 21:34
1590875355,9,0.693231702,,1590875355,,5/30/20 21:49
