Wall time,Step,Value,,,,
1590868045,0,0.680370688,,1590868045,,5/30/2020 19:47
1590868680,1,0.694194198,,1590868680,,5/30/2020 19:58
1590869470,2,0.6933406,,1590869470,,5/30/2020 20:11
1590870247,3,0.693274677,,1590870247,,5/30/2020 20:24
1590871043,4,0.693027854,,1590871043,,5/30/2020 20:37
1590871885,5,0.693050563,,1590871885,,5/30/2020 20:51
1590872749,6,0.692989886,,1590872749,,5/30/2020 21:05
1590873608,7,0.693191648,,1590873608,,5/30/2020 21:20
1590874479,8,0.693185985,,1590874479,,5/30/2020 21:34
1590875357,9,0.693154454,,1590875357,,5/30/2020 21:49
