Time,Steps,TrainAccuracy,ValidationAccuracy,TrainLoss,ValdationLoss
43982.48433,0,0.525320172,0.553885996,0.709859133,0.684098959
43982.49297,1,0.550165534,0.552072525,0.686054885,0.680472672
43982.50261,2,0.562986076,0.576424897,0.681964397,0.677226543
43982.51278,3,0.568876565,0.567098439,0.679862022,0.675187945
43982.52363,4,0.571905255,0.577461123,0.678259015,0.676746845
43982.53464,5,0.574690104,0.580051839,0.676047504,0.672031343
43982.54556,6,0.582133412,0.566839397,0.672692001,0.674423218
43982.55639,7,0.590295434,0.566062152,0.668601871,0.684727728
43982.56759,8,0.59802109,0.575647652,0.662973762,0.678476155
43982.57911,9,0.609750748,0.55284977,0.656101108,0.693666637
